,title,price,link
0,"Lenovo
                                        Smartchoice LOQ AMD Ryzen 7 7435HS, NVIDIA RTX 4050-6GB, 24GB RAM, 512GB SSD,
                                        15.6""/39.6cm, Windows 11, MS Office Home 2024, Grey, 2.4Kg, 83JC00EGIN, 100%
                                        sRGB, 3 Mon. Game Pass Gaming Laptop","80,552",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMDc0MzExMzc4ODE4OjE3NTEzNTEyNTc6c3BfYXRmX25leHQ6MzAwNDQ5NjAxMTU2MzMyOjowOjo&url=%2FLenovo-Smartchoice-4050-6GB-Windows-83JC00EGIN%2Fdp%2FB0DPQHCKQD%2Fref%3Dsr_1_17_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9._s4_oEL-TrwUXW_PdXesXTe_BBbew7jC8C9tAl_9FYwcwJfWZI2O_mHkZrYrIy9iz5sCbF2eeO3cJ471xmElP7T9P_s6Nkb2PM6qn-qSkrTNN42hJmoKUk_sURxsWnmjmyVlfZ8O6gJBzEbKRA5rdJ40SAw-JqksHBoIp2ZnzKPc0l_W0Wrb8zGExfG14k_Qz64xRxDY_ebjVn84jSaBzhzTACWCGtgMDyGHzX8zq5k.KyE35HuNDyvdzG7goZPUpAUSumPiA7yZAjzfdKQTvz4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351257%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
1,"ASUS Vivobook 16,Intel Core Ultra 5 (Series 2),Thin & Light(Intel iGPU/16GB RAM/512GB SSD/FHD+/16""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Silver/1.88 kg) X1607CA-MB142WS","70,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMDc0MzExMzc4ODE4OjE3NTEzNTEyNTc6c3BfYXRmX25leHQ6MzAwNDc5NjMwNjc3OTMyOjowOjo&url=%2FASUS-Vivobook-Backlit-Keyboard-X1607CA-MB142WS%2Fdp%2FB0DT74FF9P%2Fref%3Dsr_1_18_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9._s4_oEL-TrwUXW_PdXesXTe_BBbew7jC8C9tAl_9FYwcwJfWZI2O_mHkZrYrIy9iz5sCbF2eeO3cJ471xmElP7T9P_s6Nkb2PM6qn-qSkrTNN42hJmoKUk_sURxsWnmjmyVlfZ8O6gJBzEbKRA5rdJ40SAw-JqksHBoIp2ZnzKPc0l_W0Wrb8zGExfG14k_Qz64xRxDY_ebjVn84jSaBzhzTACWCGtgMDyGHzX8zq5k.KyE35HuNDyvdzG7goZPUpAUSumPiA7yZAjzfdKQTvz4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351257%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB
2,"Lenovo IdeaPad Slim 3 Ryzen 5 5625U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Integrated AMD Radeon Graphics/Windows 11/Office Home 2024/Grey/1.6Kg), 82XM00QDIN","42,490",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MjAxMDc0MzExMzc4ODE4OjE3NTEzNTEyNTc6c3BfbXRmOjMwMDUyNTI0MzI5NzQzMjo6MDo6&url=%2FLenovo-IdeaPad-Integrated-Graphics-82XM00QDIN%2Fdp%2FB0F18LK3FB%2Fref%3Dsr_1_27_sspa%3Fcrid%3D1XZZB0IRDY8XV%26dib%3DeyJ2IjoiMSJ9._s4_oEL-TrwUXW_PdXesXTe_BBbew7jC8C9tAl_9FYwcwJfWZI2O_mHkZrYrIy9iz5sCbF2eeO3cJ471xmElP7T9P_s6Nkb2PM6qn-qSkrTNN42hJmoKUk_sURxsWnmjmyVlfZ8O6gJBzEbKRA5rdJ40SAw-JqksHBoIp2ZnzKPc0l_W0Wrb8zGExfG14k_Qz64xRxDY_ebjVn84jSaBzhzTACWCGtgMDyGHzX8zq5k.KyE35HuNDyvdzG7goZPUpAUSumPiA7yZAjzfdKQTvz4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751351257%26sprefix%3Dlapto%252Caps%252C654%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB
3,"Microsoft New Surface Pro (11Th Edition) - Windows 11 Home Copilot + Pc - 13"" LCD Pixelsense Touchscreen - Qualcomm Snapdragon X Plus (10 Core,Wi-Fi) - 16Gb Ram - 256Gb Ssd - Platinum - Zhx-00014","1,13,990",https://amazon.in/Microsoft-New-Surface-Pro-11Th/dp/B0D926JN5N/ref=sr_1_109?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-109
4,"HP 15 (2025), AMD Ryzen 3 7320U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/1.5 kg","27,239",https://amazon.in/HP-15-Ryzen-7320U-Quad/dp/B0F6TSW761/ref=sr_1_110?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-110
5,"Amazon Basics Laptop Sleeve Case Cover Pouch for 14-Inch, 14.1-Inch Laptop for Men & Women | Slim Profile Neoprene, Soft Puffy Fabric Lining, 360Â° Protection, Smooth & Premium Zipper (Grey)",349,https://amazon.in/14-Inch-14-1-Inch-Profile-Neoprene-Protection/dp/B09SPNRNJX/ref=sr_1_111?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-111
6,"acer (2025 Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Intel Graphics/Windows 11 Home) Thin and Light Laptop/15.6"" FHD IPS Display/Metal Body/Silver/1.5 Kg/Office 2021/3 Years Warranty","34,990",https://amazon.in/acer-2025-Aspire-Intel-1305U/dp/B0F9ZWZ3NG/ref=sr_1_112?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-112
7,"Dell Inspiron 15-3530 Laptop - 15.6 inch FHD, 13th Gen Intel Core i7-1355U, 16GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 11 Home, Platinum Silver, 1.62 Kg, 1 Year Onsite Hardware Service","69,711",https://amazon.in/Dell-Inspiron-15-3530-Laptop-i7-1355U/dp/B0DSFP9FCS/ref=sr_1_113?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-113
8,"Lenovo Ideapad 1 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/Windows 11/Office Home 2024/15.6 Inch (39.6Cm)/FHD IPS Display/3Months Game Pass/Grey/1.6Kg), 82R4011CIN/0DIN Laptop","37,999",https://amazon.in/Lenovo-Ideapad-Windows-Display-82R4011CIN/dp/B0DT3SBQM7/ref=sr_1_114?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-114
9,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U,Thin & Light (AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.38 kg) E1404FA-NK3325WS","31,990",https://amazon.in/ASUS-Vivobook-Radeon-Windows-E1404FA-NK3325WS/dp/B0DTYNRVRX/ref=sr_1_115?crid=1XZZB0IRDY8XV&dib=eyJ2IjoiMSJ9.MSrPls8PQxJtIE2MFqoKOnc8CODiZuW5UuvwnGZ6j1vCnxZYRBfLwBC49tUpWDvX4q3vTcNBU4be-gYtVBLRspluFFH563iYkWKNLSx823PJQ9RzQgMDxSijx-G4a21DUKxFKR1qyxsSyG1KnBeXwg0G9e7D-rvAOsq61uGmg6Paci72tug4mhK81u89IlJtrfZLeG87uig0dgVHCxr7TcJpmtjYcs_YMlS5Lko3E8k.z4gYPXHd6eJdUAG9h2vsnvemHKkRIvF86ydc4-2u2L4&dib_tag=se&keywords=laptop&qid=1751351293&sprefix=lapto%2Caps%2C654&sr=8-115
